"id","code","country_code","area_code","state"
"1","+1204","CA","204","Manitoba"
"2","+1226","CA","226","Ontario"
"3","+1236","CA","236","British Columbia"
"4","+1249","CA","249","Ontario"
"5","+1250","CA","250","British Columbia"
"6","+1289","CA","289","Ontario"
"7","+1306","CA","306","Saskatchewan"
"8","+1343","CA","343","Ontario"
"9","+1403","CA","403","Alberta"
"10","+1416","CA","416","Ontario"
"11","+1418","CA","418","Quebec"
"12","+1438","CA","438","Quebec"
"13","+1450","CA","450","Quebec"
"14","+1506","CA","506","New Brunswick"
"15","+1514","CA","514","Quebec"
"16","+1519","CA","519","Ontario"
"17","+1579","CA","579","Quebec"
"18","+1581","CA","581","Quebec"
"19","+1587","CA","587","Alberta"
"20","+1600","CA","600",
"21","+1604","CA","604","British Columbia"
"22","+1613","CA","613","Ontario"
"23","+1647","CA","647","Ontario"
"24","+1705","CA","705","Ontario"
"25","+1709","CA","709","Newfoundland and Labrador"
"26","+1778","CA","778","British Columbia"
"27","+1780","CA","780","Alberta"
"28","+1807","CA","807","Ontario"
"29","+1819","CA","819","Quebec"
"30","+1867","CA","867","Yukon"
"31","+1902","CA","902","Prince Edward Island"
"32","+1905","CA","905","Ontario"
"33","+1268","AG","268","Antigua and Barbuda"
"34","+1264","AI","264","Anguilla"
"35","+1684","AS","684","American Samoa"
"36","+1246","BB","246","Barbados"
"37","+1441","BM","441","Bermuda"
"38","+1242","BS","242","The Bahamas"
"39","+1365","CA","365","Ontario"
"40","+1367","CA","367","Quebec"
"41","+1431","CA","431","Manitoba"
"42","+1437","CA","437","Ontario"
"43","+1548","CA","548","Ontario"
"44","+1622","CA","622",
"45","+1639","CA","639","Saskatchewan"
"46","+1782","CA","782","Prince Edward Island"
"47","+1825","CA","825","Alberta"
"48","+1873","CA","873","Quebec"
"49","+1879","CA","879","Newfoundland and Labrador"
"50","+1767","DM","767","Dominica"
"51","+1809","DO","809","Dominican Republic"
"52","+1829","DO","829","Dominican Republic"
"53","+1849","DO","849","Dominican Republic"
"54","+1473","GD","473","Grenada"
"55","+1671","GU","671","Guam"
"56","+1876","JM","876","Jamaica"
"57","+1869","KN","869","Saint Kitts and Nevis"
"58","+1345","KY","345","Cayman Islands"
"59","+1758","LC","758","Saint Lucia"
"60","+1670","MP","670","Northern Mariana Islands"
"61","+1664","MS","664","Montserrat"
"62","+1787","PR","787","Puerto Rico"
"63","+1939","PR","939","Puerto Rico"
"64","+1721","SX","721","Sint Maarten"
"65","+1649","TC","649","Turks and Caicos Islands"
"66","+1868","TT","868","Trinidad and Tobago"
"67","+1784","VC","784","Saint Vincent and the Grenadines"
"68","+1284","VG","284","British Virgin Islands"
"69","+1340","VI","340","U.S. Virgin Islands"
"70","+1201","US","201","New Jersey"
"71","+1202","US","202","District of Columbia"
"72","+1203","US","203","Connecticut"
"73","+1205","US","205","Alabama"
"74","+1206","US","206","Washington"
"75","+1207","US","207","Maine"
"76","+1208","US","208","Idaho"
"77","+1209","US","209","California"
"78","+1210","US","210","Texas"
"79","+1212","US","212","New York"
"80","+1213","US","213","California"
"81","+1214","US","214","Texas"
"82","+1215","US","215","Pennsylvania"
"83","+1216","US","216","Ohio"
"84","+1217","US","217","Illinois"
"85","+1218","US","218","Minnesota"
"86","+1219","US","219","Indiana"
"87","+1224","US","224","Illinois"
"88","+1225","US","225","Louisiana"
"89","+1228","US","228","Mississippi"
"90","+1229","US","229","Georgia"
"91","+1231","US","231","Michigan"
"92","+1234","US","234","Ohio"
"93","+1239","US","239","Florida"
"94","+1240","US","240","Maryland"
"95","+1248","US","248","Michigan"
"96","+1251","US","251","Alabama"
"97","+1252","US","252","North Carolina"
"98","+1253","US","253","Washington"
"99","+1254","US","254","Texas"
"100","+1256","US","256","Alabama"
"101","+1260","US","260","Indiana"
"102","+1262","US","262","Wisconsin"
"103","+1267","US","267","Pennsylvania"
"104","+1269","US","269","Michigan"
"105","+1270","US","270","Kentucky"
"106","+1276","US","276","Virginia"
"107","+1281","US","281","Texas"
"108","+1283","US","283","Ohio"
"109","+1301","US","301","Maryland"
"110","+1302","US","302","Delaware"
"111","+1303","US","303","Colorado"
"112","+1304","US","304","West Virginia"
"113","+1305","US","305","Florida"
"114","+1307","US","307","Wyoming"
"115","+1308","US","308","Nebraska"
"116","+1309","US","309","Illinois"
"117","+1310","US","310","California"
"118","+1312","US","312","Illinois"
"119","+1313","US","313","Michigan"
"120","+1314","US","314","Missouri"
"121","+1315","US","315","New York"
