Country,Country Code,International Prefix,National Prefix,National Number,UTC/DST*,Note
Afghanistan,93,0,0,9 digits,4.3, 
Albania,355,0,0,3 to 9 digits,+1/+2, 
Algeria,213,0,0,"8, 9 digits",1, 
American Samoa,1,11,1,(684)+7 digits,-11, 
Andorra,376,0,...,"6, 8, 9 digits",+1/+2, 
Angola,244,0,0,9 digits,1, 
Anguilla,1,11,1,(264)+7 digits,-4, 
Antigua and Barbuda,1,11,1,(268)+7 digits,-4, 
Argentina,54,0,0,10 digits,-3, 
Armenia,374,0,0,8 digits,+4/+5, 
Aruba,297,0,...,7 digits,-4, 
Australia,61,11,0,5 to 15 digits,+10/+11,12
Australian External Territories,672,0,0,6 digits,11.3,8
Austria,43,0,0,4 to 13 digits,+1/+2, 
Azerbaijan,994,0,0,8 to 9 digits,+4/+5, 
Bahamas,1,11,1,(242)+7 digits,-5/-4, 
Bahrain,973,0,...,8 digits,3, 
Bangladesh,880,0,0,6 to 10 digits,6, 
Barbados,1,11,1,(246)+7 digits,-4, 
Belarus,375,810,8,9 to 10 digits,+2/+3, 
Belgium,32,0,0,8 to 9 digits,+1/+2,2
Belize,501,0,...,7 digits,-6, 
Benin,229,0,...,8 digits,1, 
Bermuda,1,11,1,(441)+7 digits,-4/-3, 
Bhutan,975,0,...,7 to 8 digits,6, 
Bolivia (Plurinational State of),591,0,0,8 digits,-4, 
"Bonaire, Sint Eustatius and Saba",599,0,0,7 digits,-4, 
Bosnia and Herzegovina,387,0,0,8 digits,+1/+2, 
Botswana,267,0,...,7 to 8 digits,2, 
Brazil,55,0,0,10 digits,-3/-2,18
British Virgin Islands,1,11,1,(284)+7 digits,-4, 
Brunei Darussalam,673,0,...,7 digits,8, 
Bulgaria,359,0,0,7 to 9 digits,+2/+3,2
Burkina Faso,226,0,...,8 digits,UTC, 
Burundi,257,0,...,8 digits,2, 
Cambodia,855,"001, 007",0,8 digits,7, 
Cameroon,237,0,...,8 digits,1, 
Canada,1,11,1,10 digits,-5/-4,11
Cape Verde,238,0,...,7 digits,-1, 
Cayman Islands,1,11,1,(345)+7 digits,-5, 
Central African Rep.,236,0,...,8 digits,1, 
Chad,235,0,...,8 digits,1, 
